Age,Gender,Study_Hours,Class_Attendance,Tuition,Exam_Frequency,Assignment_Load,Sleep_Hours,Caffeine_Intake_mg,Physical_Exercise,Social_Media_Use,Screen_Time,Family_Income_Level,Peer_Pressure,Family_Support,Anxiety_Level,University_Type,Stress_Score,Stress_Level
24,Male,9.0,71.0,No,7,4.0,6.0,200.0,Yes,6.0,9.0,Low,6.0,3.0,5.0,National University,20,Medium
24,Female,8.0,43.0,Yes,6,8.0,5.0,0.0,Yes,6.0,8.0,Medium,3.0,7.0,8.0,National University,22,High
21,Female,4.0,56.0,Yes,3,6.0,5.0,100.0,Yes,7.0,9.0,Low,2.0,5.0,3.0,Private University,16,Medium
23,Female,4.0,46.0,No,8,6.0,8.0,50.0,No,5.0,6.0,Medium,8.0,6.0,5.0,Private University,16,Medium
20,Male,8.0,46.0,No,5,1.0,6.0,200.0,Yes,0.0,7.0,Medium,5.0,6.0,2.0,National University,1,Low
19,Male,2.0,95.0,No,5,2.0,7.0,150.0,No,3.0,6.0,Low,2.0,6.0,1.0,National University,4,Low
22,Female,0.0,85.0,Yes,9,5.0,9.0,200.0,Yes,0.0,4.0,Low,5.0,9.0,9.0,Public University,7,Low
20,Female,6.0,52.0,Yes,6,1.0,8.0,0.0,Yes,2.0,1.0,Low,2.0,1.0,1.0,National University,0,Low
23,Female,8.0,74.0,No,8,5.0,5.0,150.0,No,7.0,3.0,Low,5.0,8.0,4.0,National University,14,Medium
24,Male,4.0,46.0,Yes,1,8.0,9.0,0.0,No,6.0,11.0,Medium,5.0,6.0,5.0,Private University,16,Medium
22,Female,2.0,50.0,No,8,3.0,4.0,150.0,No,4.0,2.0,High,6.0,4.0,7.0,Private University,16,Medium
22,Female,4.0,89.0,No,6,9.0,9.0,100.0,Yes,6.0,1.0,Medium,6.0,9.0,6.0,Private University,8,Low
24,Male,4.0,49.0,Yes,4,9.0,7.0,0.0,No,4.0,6.0,High,7.0,1.0,8.0,National University,23,High
22,Male,7.0,88.0,Yes,6,3.0,6.0,100.0,No,0.0,2.0,Low,6.0,5.0,2.0,Private University,2,Low
24,Male,0.0,48.0,Yes,7,2.0,5.0,200.0,No,6.0,11.0,High,7.0,3.0,4.0,Private University,22,High
23,Male,7.0,68.0,No,9,3.0,6.0,150.0,Yes,4.0,1.0,Low,5.0,1.0,4.0,Public University,12,Medium
23,Male,7.0,48.0,Yes,2,6.0,8.0,50.0,No,2.0,4.0,Low,2.0,3.0,2.0,Public University,5,Low
23,Male,6.0,95.0,Yes,9,4.0,4.0,300.0,No,6.0,1.0,Low,1.0,7.0,2.0,National University,11,Medium
22,Female,2.0,64.0,Yes,1,5.0,6.0,250.0,No,3.0,1.0,Medium,4.0,2.0,1.0,National University,3,Low
20,Female,7.0,61.0,Yes,6,3.0,6.0,0.0,No,3.0,6.0,High,9.0,4.0,2.0,Public University,10,Low
22,Male,6.0,48.0,Yes,9,9.0,6.0,150.0,No,7.0,7.0,Medium,5.0,6.0,1.0,Private University,21,High
23,Female,9.0,77.0,Yes,6,4.0,5.0,200.0,Yes,0.0,3.0,Low,2.0,4.0,8.0,National University,10,Low
